,date,btc_price,btc_volume_24hr,btc_supply,btc_weekly_spread,us_real_interest_rate_percent,us_gdp_usd,us_inflation_rate_percent
16,2020-04-26,7193.24950510791,33111482733.41024,18340180.0,696.5190896452386,-0.11159442,18940000000000.0,0.33
17,2020-05-03,8337.510106245149,44573114843.50073,18352580.0,1282.4395996059402,-0.02785652,19820000000000.0,0.12
18,2020-05-10,9324.10889176719,48809254298.2478,18350442.714562632,1074.7586026847111,-0.02785652,19820000000000.0,0.12
19,2020-05-17,9130.001205100532,47792269758.52369,18365320.42506421,1191.7429360046972,-0.02785652,19820000000000.0,0.12
20,2020-05-24,9431.93777540349,33757904691.30218,18380657.628670167,700.2364302904625,-0.02785652,19820000000000.0,0.12
21,2020-05-31,9180.66591485464,29318331696.674854,18405145.345453776,930.8573466775288,-0.02785652,19820000000000.0,0.12
22,2020-06-07,9695.913061516403,27269683913.987568,18403011.651732963,700.9689118989936,-0.15369936,20980000000000.0,0.65
23,2020-06-14,9631.22006832682,23824957097.138893,18400767.42857143,548.9018256296004,-0.15369936,20980000000000.0,0.65
24,2020-06-21,9405.537641567787,23163624004.852875,18400722.64976627,212.14651241243337,-0.15369936,20980000000000.0,0.65
25,2020-06-28,9332.692741502238,21734204288.093204,18412224.994233772,664.7776442996947,-0.15369936,20980000000000.0,0.65
26,2020-07-05,9143.439470968713,18944364860.190945,18421974.390350096,159.28795580800397,-0.3453445,21400000000000.0,0.99
27,2020-07-12,9266.933130985126,18976823505.954475,18427730.227687407,344.76520324577723,-0.3453445,21400000000000.0,0.99
28,2020-07-19,9207.119568969207,17433206451.966404,18436583.260344915,160.99625950868722,-0.3453445,21400000000000.0,0.99
29,2020-07-26,9440.29169824329,24631346599.946804,18438646.450222574,528.6654843402321,-0.3453445,21400000000000.0,0.99
30,2020-08-02,11020.070234896115,25211687612.936768,18450091.718192898,1886.3429097921708,-0.407134,21630000000000.0,1.31
31,2020-08-09,11468.16310923766,21679982596.47857,18453779.317589547,701.8215016497397,-0.407134,21630000000000.0,1.31
32,2020-08-16,11711.969952258009,22306047448.15031,18446488.868658386,466.23474925984374,-0.407134,21630000000000.0,1.31
33,2020-08-23,11844.354059863335,22319144438.677185,18471953.978241827,757.3415094312095,-0.407134,21630000000000.0,1.31
34,2020-08-30,11503.358693405286,20300664448.06256,18477225.238221753,458.42975655792,-0.407134,21630000000000.0,1.31
35,2020-09-06,11078.07544984968,32246118607.29725,18500464.431597594,1717.4356272956447,-0.34333693,21910000000000.0,1.37
36,2020-09-13,10304.914244032732,34685292264.25492,18479197.416778047,314.369716194351,-0.34333693,21910000000000.0,1.37
37,2020-09-20,10811.276792395376,22201136671.02659,18485151.050536245,755.1322952108185,-0.34333693,21910000000000.0,1.37
38,2020-09-27,10609.419703042999,20160243110.609646,18506321.979475506,699.5425617886376,-0.34333693,21910000000000.0,1.37
39,2020-10-04,10684.719166036202,18937967865.875824,18507950.31544574,290.86033113318445,-0.29173845,22050000000000.0,1.18
40,2020-10-11,10852.582841667328,18434912156.33859,18514332.012609776,680.5841507377245,-0.29173845,22050000000000.0,1.18
41,2020-10-18,11423.310504538023,19117784504.28877,18522966.467039995,224.08597509384344,-0.29173845,22050000000000.0,1.18
42,2020-10-25,12421.193409318525,21455868867.957447,18515053.861807145,1610.1460435697081,-0.29173845,22050000000000.0,1.18
43,2020-11-01,13396.868317756162,22897933318.50642,18531555.02116283,757.2267962288133,-0.21395564,21900000000000.0,1.17
44,2020-11-08,14470.074061004387,27438513661.955486,18533300.758588377,1994.9699055572764,-0.21395564,21900000000000.0,1.17
45,2020-11-15,15783.542804504554,24916819138.93498,18539746.25262122,1048.105215279811,-0.21395564,21900000000000.0,1.17
46,2020-11-22,17616.990372747965,29424752180.490395,18545795.112542942,2704.854871669235,-0.21395564,21900000000000.0,1.17
47,2020-11-29,18084.77087787712,35985157982.70275,18562848.664904844,1953.4946693334969,-0.21395564,21900000000000.0,1.17
48,2020-12-06,19018.69059785782,28812092661.25576,18555116.84810425,1439.5672297927413,-0.23232146,22130000000000.0,1.36
49,2020-12-13,18650.43468242218,24652155139.520206,18572921.579206415,1267.5267790215366,-0.23232146,22130000000000.0,1.36
50,2020-12-20,21278.744383980178,34481641788.53012,18572029.449316733,4712.720418314762,-0.23232146,22130000000000.0,1.36
51,2020-12-27,24052.822223217026,38346724798.69615,18578301.49346596,3635.1384298311314,-0.23232146,22130000000000.0,1.36
